Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
it,sl,70.29,0.033484377,0.519686992,0.212345205,-0.462645896,-1.329527097,0.616365295,0.939384218,0.370289727,-0.317066274,0.053878439,-0.236503566,0.4421,0.0002,0.4312,0.0197
it,sk,65.05,0.520115216,0.032994838,0.168858597,-0.427488318,-1.329527097,0.64063758,1.152921784,0.370289727,-0.675251334,0.053878439,0.188499389,0.6667,0.0002,0.6737,0.0387
it,ro,76.93,-1.017235098,0.914000457,0.289526735,-0.534291076,-1.329527097,0.566902495,0.163514759,0.370289727,0.353802693,-2.64109249,-0.341525719,0.4419,0.641,0.3812,0.0493
it,hr,66.96,0.451514869,0.129072545,0.202649515,-0.686027734,-1.329527097,0.462145693,0.734470446,0.370289727,-0.073940349,0.19748707,0.547479127,0.5749,0.0002,0.4263,0.0205
it,ar,50.72,0.914379004,-1.017857028,0.074013632,-0.835972599,-1.329527097,0.358625919,-0.898723408,0.370289727,0.745902747,0.590200479,0.188499389,0.6667,0.0002,0.6737,1
it,lv,61.56,0.705123674,-0.312318741,0.134107709,-0.934988279,-1.329527097,0.29026692,1.20895374,0.370289727,-0.797974521,-0.255867289,0.244871494,0.7906,0.5922,0.6737,0.0869
it,he,58.14,0.760956035,-0.453697316,0.11500432,-1.096068136,-1.329527097,0.179059708,-0.619437084,0.370289727,0.670706289,0.590200479,-0.119529185,0.5658,0.0002,0.6332,0.1187
it,uk,68.86,0.218492836,0.378308417,0.120284151,-1.24989735,-1.329527097,0.072858235,1.589955549,0.370289727,-2.827672207,0.053878439,-0.23942086,0.4215,0.0002,0.3926,0.0537
it,id,62.76,0.585005577,-0.071447576,0.226744744,-1.263853054,-1.329527097,0.063223418,0.525274709,0.370289727,0.114581646,0.590200479,-0.044334517,0.519,0.5687,0.4312,0.5564
it,da,70.56,-0.185334185,0.646154437,0.161658827,-1.287183995,-1.329527097,0.047116073,0.592216931,0.370289727,0.05932429,0.136699067,0.166266405,0.7356,0.0002,0.6737,0.0667
it,sv,67.13,0.378754452,0.218026607,0.144475377,-1.32474757,-1.329527097,0.021182722,0.487224407,0.370289727,0.144175559,0.136699067,-0.051740255,0.5346,0.0002,0.5422,0.0945
it,zh,43.5,0.961450893,-1.285703049,0.100604781,-1.411973294,-1.329527097,-0.039036662,0.307574441,0.370289727,0.268785054,0.590200479,0.188499389,0.6667,0.0002,0.6737,1
en,cs,44.6,0.814306121,-0.613979125,0.283551164,2.821498253,0.54526688,1.564143146,-1.157382288,-0.94898463,0.565359157,0.136699067,0.325018208,0.6173,0.5687,0.5368,0.0583
en,ru,56.23,0.12954998,0.451078002,0.141098183,1.873754059,0.54526688,0.90983421,-0.499150064,-0.94898463,0.237706017,-0.066060666,-0.122822307,0.5097,0.2804,0.5594,0.2316
en,no,69.32,-2.948849201,1.092153523,0.270879821,1.241510192,0.54526688,0.473342155,-0.840558589,-0.94898463,0.43082758,-1.448332833,0.142441321,0.7601,0.5687,0.5983,0.0513
en,es,61.13,-0.613408078,0.813914965,0.251554033,1.136962251,0.54526688,0.401163763,-1.487610089,-0.94898463,0.674664016,0.354869848,-0.426361356,0.4728,0.3433,0.5481,0.0698
en,ko,20.45,1.092509625,-2.949714514,0.12328658,1.089662201,0.54526688,0.36850849,1.411236708,-0.94898463,-0.188749008,0.590200479,0.218500866,0.5443,0.4638,0.4866,0.4405
en,et,49.56,0.646566728,-0.185851296,0.179112209,0.749460668,0.54526688,0.133638254,0.787207604,-0.94898463,-4.185995835,0.590200479,0.023676003,0.7367,0.5687,0.5983,0.0814
en,pl,52.46,0.520115216,0.032994838,0.195927638,0.703254081,0.54526688,0.101737892,0.801097958,-0.94898463,-5.218299894,0.053878439,0.141940834,0.541,0.2804,0.5472,0.0666
en,nl,58,-0.311785697,0.704718761,0.244062799,0.504323909,0.54526688,-0.035600632,-0.337975443,-0.94898463,0.121313127,-0.912128434,-0.111179847,0.5249,0.5687,0.4861,0.021
