Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,sv,32.41,-2.24485516,1.04147407,0.049579832,0.084938089,0.632667912,-0.294143263,0.056818549,-3.505268353,1.406769685,-2.740208131,0.101953066,0.6029,0.0002,0.4819,0.2839
pcm,da,8.07,0.861373644,-0.730780486,0.091596639,0.020753081,0.632667912,-0.34664806,0.166051374,-3.505268353,1.689406724,-2.740208131,0.132567348,1,0.0002,0.6737,0.2522
pcm,id,18.7,0.315769081,0.336800294,0.109243697,0.031255459,0.632667912,-0.338056876,0.172049588,-3.505268353,1.704155123,0.422132886,0.071157188,0.6086,0.5687,0.3753,0.5913
pcm,uk,1.33,1.048893057,-2.29016468,0.010084034,0.066423317,0.632667912,-0.309288768,0.410337873,-3.505268353,2.24503123,-0.608284632,0.050634602,0.5774,0.0002,0.3626,0.2339
pcm,fa,14.73,0.454958629,0.181400792,0.004201681,0.081465131,0.632667912,-0.296984221,-0.192955946,-3.505268353,0.590015265,0.422132886,-7.254351635,0.7616,0.0002,0.6737,1
pcm,he,11.8,0.663150029,-0.156174237,0.002521008,0.10728665,0.632667912,-0.275861631,0.364323343,-3.505268353,2.146204446,0.422132886,-0.05581593,0.7164,0.0002,0.5415,0.1986
pcm,eu,22.8,-0.080876632,0.62351786,0.023529412,0.373166954,0.632667912,-0.058365493,0.279740544,-3.505268353,1.958266566,0.422132886,-0.067041286,0.7324,0.641,0.5715,0.1887
pcm,lv,5.82,0.927456349,-1.054381944,0.026890756,0.261697161,0.632667912,-0.149550321,0.317569339,-3.505268353,2.043412873,-1.203388694,0.091659201,1,0.5922,0.6737,0.276
pcm,sl,19.88,0.113015663,0.50500225,0.051260504,0.288932895,0.632667912,-0.127270871,0.305267147,-3.505268353,2.01592769,-0.608284632,0.101953066,0.5788,0.0002,0.404,0.2094
pcm,hr,18.98,0.278068353,0.372513069,0.076470588,0.364792903,0.632667912,-0.065215658,0.182701018,-3.505268353,1.730173932,-0.332374194,0.38084066,0.513,0.0002,0.479,0.2065
pcm,ro,20.03,0.067618953,0.535822203,0.084033613,0.414467563,0.632667912,-0.024580656,0.095899013,-3.505268353,1.5112318,-0.243318895,0.050634602,0.5717,0.641,0.3203,0.225
pcm,sk,15.84,0.352233495,0.299916402,0.03697479,0.491798613,0.632667912,0.038677902,0.373326558,-3.505268353,2.165714363,-0.608284632,-7.254351635,0.7616,0.0002,0.6737,0.2265
pcm,bg,1.75,1.029552309,-1.966563222,0.003361345,0.527169226,0.632667912,0.067611869,0.164845862,-3.505268353,1.686434077,-0.449164142,0.050634602,0.6635,0.6162,0.5052,0.2126
pcm,pt,26.67,-0.703205751,0.851797477,0.109243697,0.585499152,0.632667912,0.115327075,-0.05503903,-3.505268353,1.080373551,0.03209309,0.060953666,0.5436,0.0002,0.351,0.1845
pcm,nl,10.6,0.689948072,-0.213871905,0.12605042,0.670041654,0.632667912,0.184484765,-0.004860522,-3.505268353,1.232528816,-2.464241186,0.091659201,0.5686,0.0002,0.4305,0.2353
pcm,en,53.37,-3.46658341,1.079608499,0.68487395,0.815399084,0.632667912,0.303390449,-0.130261744,-3.505268353,0.829039583,-12.58841631,-0.012409354,0.6382,0.5687,0.4661,0.2419
pcm,it,6.84,0.905862176,-0.935866334,0.11092437,0.700347573,0.632667912,0.209275696,-0.02499702,-3.505268353,1.172724977,-0.173197196,0.050634602,0.5617,0.0002,0.3303,0.19
pcm,ca,26.31,-0.531780179,0.804921614,0.093277311,0.817820435,0.632667912,0.305371169,-0.246718257,-3.505268353,0.353636175,-0.116352177,0.132567348,0.5555,0.6162,0.3459,0.1792
pcm,hi,3.38,0.989831481,-1.510472583,0.000840336,0.816481051,0.632667912,0.304275523,-0.641863324,-3.505268353,-0.572562122,-0.332374194,0.008936136,0.6369,0.5922,0.5081,0.3912
pcm,pl,12.94,0.548991939,0.048911611,0.036134454,0.841930331,0.632667912,0.325093613,0.361766802,-3.505268353,2.140648374,-0.608284632,0.040197348,0.6568,0.6162,0.4746,0.2433
pcm,de,9.15,0.815030898,-0.557382873,0.093277311,0.769254139,0.632667912,0.265642834,0.129885972,-3.505268353,1.598924375,-4.365070501,0.008936136,0.6281,0.5456,0.4382,0.22
pcm,fro,9.93,0.741681352,-0.338984942,0.079831933,0.859741622,0.632667912,0.339663654,-0.49400374,-3.505268353,-3.275460403,-0.02999995,0.173822306,1,0.0002,0.6737,0.2022
pcm,es,25.83,-0.315866075,0.730728271,0.080672269,0.859823065,0.632667912,0.339730276,-0.229308782,-3.505268353,0.434118966,-0.02999995,-0.023109476,0.7119,0.5922,0.5275,0.173
pcm,fr,31.21,-1.474030455,0.981733063,0.197478992,0.807823214,0.632667912,0.297193215,-0.034282494,-3.505268353,1.144598412,0.057463798,-0.001674112,0.6241,0.5456,0.4379,0.2133
pcm,fi,9.35,0.7911146,-0.479775695,0.039495798,0.90108784,0.632667912,0.373485802,0.222124952,-3.505268353,1.824684983,0.422132886,-0.001674112,0.6487,0.5687,0.4436,0.3172
pcm,grc,9.74,0.766672628,-0.407179028,0.000840336,0.835009394,0.632667912,0.319432129,-0.135490192,-3.505268353,0.810287649,-0.838719606,0.173822306,1,0.0002,0.6737,0.189
pcm,no,3.74,0.94863918,-1.186871125,0.154621849,0.950205759,0.632667912,0.413665376,-0.097727089,-3.505268353,0.94170375,-3.494432683,0.205329146,1,0.0002,0.6737,0.2807
pcm,ar,15.58,0.387540111,0.261781973,0.000840336,0.939094508,0.632667912,0.40457612,-6.277992451,-3.505268353,0.946188112,0.422132886,-7.254351635,0.7616,0.0002,0.6737,1
pcm,la,12.09,0.607535191,-0.048963826,0.043697479,0.888559778,0.632667912,0.363237562,-0.140499884,-3.505268353,0.792138842,-0.608284632,0.122337422,1,0.0002,0.6737,0.1836
pcm,et,13.21,0.5185225,0.094830555,0.077310924,1.142902918,0.632667912,0.571296037,0.248667969,-3.505268353,1.886850153,0.422132886,0.122337422,1,0.0002,0.6737,0.2879
pcm,ko,7.77,0.883840368,-0.828655923,0.03697479,1.174253101,0.632667912,0.5969412,0.181922155,-3.505268353,1.728278646,0.422132886,-0.012409354,0.6975,0.641,0.5203,0.608
pcm,ja,15.15,0.421760194,0.222309224,0,1.705798409,0.632667912,1.031757354,-3.817461986,-3.505268353,0.942840149,0.422132886,0.02979306,0.646,0.6162,0.4504,0.6419
pcm,ru,3.14,1.009869229,-1.715558431,0.027731092,1.761815298,0.632667912,1.077580444,0.01571526,-3.505268353,1.292069239,-0.838719606,-0.012409354,0.6807,0.6162,0.4693,0.3857
pcm,cs,19.28,0.198601342,0.440707155,0.131092437,2.014510541,0.632667912,1.284290901,-0.136696721,-3.505268353,0.805933137,-0.449164142,0.122337422,0.6121,0.0002,0.4632,0.229
am,bxr,13.4,0.113015663,0.50500225,0.000401768,-1.262667107,0.760533578,-1.470005493,0.594078182,0.008683549,-0.340657456,0.422132886,-0.001674112,0.6193,0.5687,0.6597,0.366
am,kmr,13.53,0.067618953,0.535822203,0.000803536,-1.411374383,0.760533578,-1.591651429,0.336384322,0.008683549,-0.721847294,0.422132886,0.153764098,0.5441,0.5096,0.436,0.1416
am,hsb,16.57,-0.531780179,0.804921614,0.000803536,-1.522668683,0.760533578,-1.682692698,0.532677047,0.008683549,-0.962541441,0.422132886,-0.001674112,0.6193,0.5687,0.6597,0.2472
am,kk,14.99,-0.315866075,0.730728271,0.000803536,-1.154024756,0.760533578,-1.381133579,0.610158789,0.008683549,-0.21959464,0.422132886,0.291952929,0.8792,1,0.6597,0.2103
am,hy,21.32,-1.924934002,1.021910831,0.000401768,-1.620394233,0.760533578,-1.762634421,0.538666368,0.008683549,-0.884971793,0.422132886,-0.101216236,0.4759,0.5032,0.4249,0.1594
am,swl,6.91,0.861373644,-0.730780486,0.000401768,-2.356041951,0.760533578,-2.36441099,0.470083725,0.008683549,-2.597180012,0.422132886,-0.001674112,0.6193,0.5687,0.6597,0.28
am,lt,13.01,0.198601342,0.440707155,0.000401768,-2.169620395,0.760533578,-2.211913917,0.557075778,0.008683549,-0.675027234,0.422132886,-0.012409354,0.5115,0.4638,0.4713,0.2507
