Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
bn,sn,17,0.75477715,-0.343071793,0,-1.570983707,0.72985533,-1.52606659,0.276828836,1.04856858,0.268307643,0.61394371,0.5667,0.502111438
bn,so,9,0.992736765,-1.240896846,0,-0.990919845,0.72985533,-1.172204448,0.276828836,-0.306249248,-1.24019994,0.394187529,0.4468,0.006296979
bn,es,32,-1.064983401,0.868208664,0,0.632419405,0.72985533,-0.181902616,-0.173465968,0.188259033,-0.027239261,0.539358378,0.5849,0.562328912
bn,sw,20,0.629733022,-0.091379441,0.0002,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,sv,19,0.694042404,-0.210589839,0,0.632419405,0.72985533,-0.181902616,-0.590926155,-0.053914625,-0.424832426,0.61394371,0.4906,0.304434625
bn,ta,25,-0.032739579,0.550624624,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.955610012,-0.890819923,0.61394371,0.4661,-1.191332499
bn,te,38,-1.432728774,0.917845425,0,0.233081326,0.72985533,-0.425514807,0.276828836,-0.581141241,-2.366092386,0.321745062,0.3198,-1.521273491
bn,tg,24,0.13573851,0.446984512,0,0.632419405,0.72985533,-0.181902616,-0.97889798,0.653075918,1.752017702,0.61394371,0.5983,-0.823079811
bn,tl,30,-0.570988889,0.762262433,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.569632648,-0.552005886,0.464938792,0.461,-0.47224271
bn,th,10,0.94415347,-0.975108354,0.0001,0.632419405,0.72985533,-0.181902616,0.276828836,0.792193086,-0.818788222,0.394187529,0.4147,-1.428260984
bn,ti,2,1.105511376,-2.409172274,0,-3.121373949,0.72985533,-2.471866611,0.276828836,-0.016272375,0.037317799,0.61394371,0.5877,0.04099564
bn,tk,23,0.18658229,0.410332085,0.0001,-1.052059778,0.72985533,-1.209502251,0.276828836,-0.466609349,1.369459832,0.749082798,0.5983,-0.554131664
bn,tr,32,-1.064983401,0.868208664,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.143020119,-0.384594769,0.464938792,0.5667,0.076834956
bn,uk,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,-0.749399781,-0.483943634,-0.30063854,0.61394371,0.5256,0.214790756
bn,ug,14,0.839984763,-0.574332943,0,-1.04197607,0.72985533,-1.203350786,0.276828836,-0.213690358,1.480891973,0.749082798,0.5983,-0.931580955
bn,uz,23,0.18658229,0.410332085,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,vi,14,0.839984763,-0.574332943,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.8737545,-0.262199554,0.52038501,0.5242,-1.233017769
bn,xh,4,1.061787778,-1.800722819,0,-2.349673015,0.72985533,-2.001098194,0.276828836,1.27280571,0.334053241,0.61394371,0.5552,0.643591744
bn,yo,23,0.18658229,0.410332085,0.0002,0.379281215,0.72985533,-0.33632703,0.276828836,0.848522685,-0.573193582,0.464938792,0.4464,0.685025871
bn,zu,17,0.75477715,-0.343071793,0,-1.764244316,0.72985533,-1.643963287,0.276828836,0.424773935,-0.040579468,0.538350663,0.5757,0.557237139
jv,am,66,0.235165586,0.372515896,0.00010819,-0.611235909,0.681733261,-0.903151257,0.276828836,1.146609951,-0.349967491,0.571356675,0.4308,0.503892067
jv,ar,64,0.968715047,-1.100604307,0,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,az,66,0.235165586,0.372515896,0.011468138,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,bn,67,-0.790310758,0.816413116,0,0.632419405,0.681733261,-0.144471802,0.276828836,0.902258285,-0.805270023,0.535125337,0.4621,-0.459463121
jv,ca,66,0.235165586,0.372515896,0.015903927,0.632419405,0.681733261,-0.144471802,0.276828836,0.507491765,-1.423380623,0.535125337,0.3445,0.933628005
jv,ceb,67,-0.790310758,0.816413116,0.003786649,0.632419405,0.681733261,-0.144471802,-2.872656486,0.861493829,-0.592613108,0.658285164,0.4751,-1.264283435
jv,ckb,66,0.235165586,0.372515896,0.00010819,0.269678823,0.681733261,-0.365758057,0.276828836,0.470310856,2.004275448,0.658285164,0.611,0.478110245
jv,de,67,-0.790310758,0.816413116,0.006815969,0.632419405,0.681733261,-0.144471802,0.276828836,0.810803571,-0.496219156,0.583891908,0.453,0.846319636
jv,fa,65,0.783924055,-0.41528238,0,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,fr,67,-0.790310758,0.816413116,0.007140539,0.632419405,0.681733261,-0.144471802,0.276828836,0.82866624,-0.500769814,0.583891908,0.4554,0.929287921
jv,ha,65,0.783924055,-0.41528238,0.016444877,-1.108887671,0.681733261,-1.206738724,0.276828836,0.77213459,-0.090063678,0.583891908,0.5347,0.918263112
jv,hi,68,-1.676612221,0.941909069,0,0.632419405,0.681733261,-0.144471802,0.276828836,1.435101285,-0.680421257,0.555620525,0.4314,-0.14417033
jv,hu,66,0.235165586,0.372515896,0.014930217,0.632419405,0.681733261,-0.144471802,0.276828836,0.569632648,-0.493490634,0.555620525,0.437,0.786657142
jv,ilo,67,-0.790310758,0.816413116,0.050741101,-0.175037928,0.681733261,-0.637053052,-4.879541746,1.175689209,-0.677596284,0.658285164,0.4208,-1.053243379
jv,id,82,-3.191754579,1.011313742,0.05853078,0.632419405,0.681733261,-0.144471802,-2.00462013,0.283618832,-1.035873031,0.571356675,0.3606,-2.27819243
jv,it,68,-1.676612221,0.941909069,0.009520718,0.632419405,0.681733261,-0.144471802,0.276828836,0.730403662,-0.237882712,0.658285164,0.4456,0.851637541
jv,kk,65,0.783924055,-0.41528238,0.00097371,0.632419405,0.681733261,-0.144471802,0.276828836,0.035370682,1.967822313,0.749082798,0.611,0.265186376
jv,rw,64,0.968715047,-1.100604307,0.012117278,-1.276296374,0.681733261,-1.308864724,0.276828836,0.035370682,-0.5510866,0.658285164,0.5009,0.648850995
jv,ky,66,0.235165586,0.372515896,0.00097371,0.632419405,0.681733261,-0.144471802,0.276828836,1.149848481,-0.407805924,0.583891908,0.5172,0.165316476
jv,ku,66,0.235165586,0.372515896,0.054203181,-0.080624024,0.681733261,-0.579456797,0.276828836,1.506013062,2.241816983,0.658285164,0.611,0.478413282
jv,lo,63,1.105511376,-2.409172274,0.00043276,-1.670564829,0.681733261,-1.549384242,0.276828836,0.43140726,-0.726776875,0.658285164,0.4208,-1.151064936
jv,mr,67,-0.790310758,0.816413116,0,0.632419405,0.681733261,-0.144471802,0.276828836,1.292406307,-0.63913844,0.658285164,0.409,-0.238010963
jv,mt,65,0.783924055,-0.41528238,0.020231527,-0.905673975,0.681733261,-1.082770246,0.276828836,1.985327829,-0.747722192,0.658285164,0.46,0.84097774
jv,my,63,1.105511376,-2.409172274,0.0010819,-0.236001721,0.681733261,-0.674243402,0.276828836,1.078818349,-0.614894313,0.594191865,0.4176,-0.654662651
jv,ms,72,-2.4341834,0.988625249,0.033647084,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,nl,69,-1.991032668,0.965496175,0.010602618,0.632419405,0.681733261,-0.144471802,0.276828836,0.631799006,-0.552005886,0.658285164,0.4485,0.896752267
jv,ny,64,0.968715047,-1.100604307,0.008763389,-2.2845374,0.681733261,-1.923932052,0.276828836,0.573942315,2.025801484,0.658285164,0.611,0.605563871
jv,om,65,0.783924055,-0.41528238,0.00140647,-2.197495376,0.681733261,-1.870832938,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,pa,67,-0.790310758,0.816413116,0.00010819,0.448880641,0.681733261,-0.256437785,0.276828836,1.435101285,-0.541902498,0.658285164,0.3915,-0.04019916
jv,pl,67,-0.790310758,0.816413116,0.012982798,0.632419405,0.681733261,-0.144471802,0.276828836,0.752003649,-0.30063854,0.535125337,0.4931,0.794339446
jv,pt,67,-0.790310758,0.816413116,0.013199178,0.632419405,0.681733261,-0.144471802,0.276828836,0.708018752,-0.53181833,0.658285164,0.4213,0.994344705
jv,ro,68,-1.676612221,0.941909069,0.031266905,0.632419405,0.681733261,-0.144471802,0.276828836,0.730403662,-0.52449642,0.506691321,0.4611,0.74506316
jv,ru,64,0.968715047,-1.100604307,0.00075733,0.632419405,0.681733261,-0.144471802,0.276828836,0.845788067,0.038962815,0.535125337,0.5242,0.349201626
jv,sn,66,0.235165586,0.372515896,0.018284107,-1.570983707,0.681733261,-1.488635777,0.276828836,0.176705443,-0.543738046,0.658285164,0.501,0.650686228
jv,so,65,0.783924055,-0.41528238,0.025641026,-0.990919845,0.681733261,-1.134773634,0.276828836,1.391249069,-0.541902498,0.571356675,0.4438,0.400779422
jv,es,68,-1.676612221,0.941909069,0.011035378,0.632419405,0.681733261,-0.144471802,0.276828836,0.861493829,0.096219097,0.555620525,0.5324,0.974582592
jv,sw,67,-0.790310758,0.816413116,0.100075733,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,sv,67,-0.790310758,0.816413116,0.012982798,0.632419405,0.681733261,-0.144471802,0.276828836,0.604017037,-0.230090214,0.658285164,0.5072,0.799433432
jv,ta,66,0.235165586,0.372515896,0.00010819,0.632419405,0.681733261,-0.144471802,0.276828836,1.321364629,-0.407805924,0.658285164,0.4456,-0.391223433
jv,te,68,-1.676612221,0.941909069,0.00010819,0.233081326,0.681733261,-0.388083993,0.276828836,1.220624204,-1.135512348,0.506691321,0.4304,-0.314210276
jv,tg,66,0.235165586,0.372515896,0.00064914,0.632419405,0.681733261,-0.144471802,0.276828836,1.198843877,2.166382983,0.658285164,0.611,0.193014132
jv,tl,67,-0.790310758,0.816413116,0.043925133,0.632419405,0.681733261,-0.144471802,-2.368088113,1.419082736,-0.232686441,0.555620525,0.4611,-1.12496107
jv,th,64,0.968715047,-1.100604307,0.00021638,0.632419405,0.681733261,-0.144471802,0.276828836,0.248715858,-0.836219571,0.571356675,0.4335,-1.142696574
jv,ti,64,0.968715047,-1.100604307,0,-3.121373949,0.681733261,-2.434435798,0.276828836,1.220624204,-0.117097042,0.658285164,0.5235,0.518627428
jv,tk,66,0.235165586,0.372515896,0.011468138,-1.052059778,0.681733261,-1.172071437,0.276828836,0.971549504,2.123266701,0.749082798,0.611,0.305136325
jv,tr,67,-0.790310758,0.816413116,0.027696635,0.632419405,0.681733261,-0.144471802,0.276828836,0.549476694,-0.384594769,0.555620525,0.4831,0.648326119
jv,uk,66,0.235165586,0.372515896,0.00140647,0.632419405,0.681733261,-0.144471802,0.276828836,0.730403662,-0.237882712,0.658285164,0.4456,0.744821232
