Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
ara,srp,1.2,49502,0.130258324,0.003419351,0.154810061,0.003252434,110631,5378,132340,5426,17.15728657,17.26908004,849320,1572813,854854,1668289,1,1,0,0.69,0.8278,0.8
ara,swe,4,58224,0.12905567,0.00295786,0.12127746,0.0030686,127674,5448,120030,5471,16.99117203,16.99838555,989294,1841872,989714,1782898,1,1,0.6153,0.64,0.0002,0.6
ara,tur,2.4,69844,0.121606532,0.002604948,0.126194731,0.002953941,140811,5534,137776,5654,16.57870397,15.63159326,1157923,2124419,1091773,1914053,1,1,0.6196,0.55,0.5922,0.6
ara,ukr,4.5,70551,0.116984208,0.002622164,0.1287061,0.002500152,133455,5470,145663,5590,16.16979207,16.04157276,1140795,2086063,1131749,2235864,1,1,0.6737,0.61,0.0002,0.7
ara,vie,12.3,93890,0.093867812,0.001652693,0.028141531,0.001571597,179271,5761,76711,6194,20.34107999,29.03291085,1909824,3485826,2725900,3941214,1,1,0.6153,0.66,0.5456,0.6
ara,cmn,8.2,,,,,,,,,,,,,,,,1,1,0.624,0.57,0.5687,0.6
ara,zho,4.9,,,,,,,,,,,,,,,,1,1,0.624,0.57,0.5687,0.6
bul,ara,3,54919,0.104480175,0.003375776,0.121615834,0.00329323,102207,5670,110182,5457,17.81246927,16.49673155,978243,1679614,905984,1657036,1,1,0.6416,0.61,0.6162,0.6
bul,bos,4.2,34760,0.140111395,0.005369684,0.176768726,0.00531925,78511,5349,91901,5305,16.12045455,14.95667434,560347,996148,519894,997321,0,0.4286,0.6416,0.51,0.6162,0.7
bul,ces,6.7,79005,0.100140048,0.002594798,0.127294512,0.002501123,125418,5778,145872,5650,15.85249035,14.50466426,1252426,2226763,1145941,2258985,0.1,0.5714,0.4507,0.55,0.6162,0.5
bul,dan,8.7,53738,0.110671816,0.003659241,0.112190738,0.00391658,98057,5564,94125,5493,16.48769958,15.61228553,886016,1520534,838973,1402499,0.1,0.8571,0.6416,0.54,0.6162,0.7
bul,deu,8.5,132146,0.081938355,0.00161376,0.083313614,0.00165566,174036,5878,177801,6009,16.07303286,16.14969049,2123987,3642425,2134117,3629369,0.1,0.8571,0.5162,0.54,0.3333,0.5
bul,ell,10,62768,0.105847856,0.002793915,0.095857356,0.002499018,118908,5623,112343,5485,17.89743181,18.67163204,1123386,2012588,1171981,2194862,0,0.8571,0.4683,0.52,0.2048,0.5
bul,eng,25.3,357969,0.047523495,0.000587241,0.031565884,0.000649683,364465,7712,249488,7978,21.42407303,22.07935045,7669154,13132603,7903723,12279837,0.1,0.8571,0.521,0.48,0.2804,0.5
bul,epo,7.7,40884,0.127974453,0.004729259,0.129839911,0.004740709,84156,5409,85655,5418,16.08453185,16.1358233,657600,1143731,659697,1142867,0.1,1,0.6416,0.7,0.6162,0.8
bul,spa,16.3,122534,0.083935668,0.001538482,0.055078111,0.001618206,184442,6049,132959,6037,17.93315325,19.7007198,2197421,3931797,2414008,3730674,0.1,0.8571,0.5933,0.41,0.3613,0.5
bul,fra,14.7,117264,0.084364715,0.001766043,0.05405789,0.001647669,166738,5993,120723,5912,16.85423489,19.04435291,1976395,3393463,2233217,3588099,0.1,0.8571,0.4788,0.5,0.3333,0.5
