Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
jpn,hrv,1.3,-0.790911545,2.406057908,0.838084157,0.899932582,1.135448977,-0.654124971,-0.898862885,-0.640065607,-0.405577326,-4.28904819,-0.95631157,-1.849824129,-0.911852605,-0.946252381,-1.009445114,0.5,1,0.5489,0.89,0.6162,0.7
kor,hrv,0.7,-1.451054792,-1.093399581,0.395711845,1.275982595,1.609752067,-3.339475968,-3.680020747,-1.021135219,-0.489855227,-0.874372794,-0.568921082,-1.497486758,-1.336306363,-1.414749381,-1.407427095,0.4,1,0.5505,0.9,0.641,0.7
mkd,hrv,12.6,-0.691264796,0.188685308,0.554759971,0.630620383,0.50460323,-0.492338681,-0.305206866,-0.214144295,-0.305190324,0.633825719,0.32555947,-0.42861753,-0.522967286,-0.51228975,-0.48336689,0,0.5,0.2983,0.68,0.0002,0.4
ron,hrv,5.7,-0.717299351,0.070962388,0.554217032,0.753994693,0.523537672,-0.572808909,-0.346785108,-0.165034089,-0.348931525,0.784354447,0.255236956,-0.410421855,-0.534106306,-0.553964563,-0.510487448,0,0.8889,0.439,0.77,0.641,0.6
rus,hrv,6.8,-0.101684457,0.619693228,0.054735664,0.556523901,0.121984579,0.303676091,-0.110414714,0.243891692,-0.163702984,-0.31187622,-0.31462602,-0.17287984,-0.073939954,-0.173601913,-0.14186819,0.2,0.4,0.4214,0.79,0.6162,0.6
slk,hrv,5.1,-1.149414978,1.078213022,1.249153945,1.009578457,1.308727263,-0.745623888,-0.457869883,-0.788880564,-0.427582126,-0.447960599,-0.400675592,-1.119867057,-1.113753267,-1.107111545,-1.15239692,0,0.625,0.6832,0.87,0.0002,0.8
srp,hrv,30.4,0.935450243,-0.205221253,-1.279315777,-0.376286467,-1.283873709,1.436794029,0.448854966,1.284965606,0.368513846,0.859729145,0.87643516,1.045645659,1.135061787,1.05016961,1.116338284,0,0.125,0.6832,0.71,0.8278,0.9
swe,hrv,5.5,-0.594313847,0.482289935,0.648864728,0.766856951,0.514570551,-0.380799561,-0.31591801,-0.115268005,-0.266868356,-0.055613495,-0.049041011,-0.531317994,-0.600255014,-0.529585697,-0.480576388,0.1,0.875,0.566,0.75,0.0002,0.6
tur,hrv,2.1,-0.94873439,0.948044785,1.175868927,0.958310016,1.022637607,-0.62456041,-0.332398335,-0.553886419,-0.388061246,-0.518632302,-0.373747468,-0.96470926,-1.020977177,-0.925477602,-0.915490068,0.1,1,0.456,0.8,0.5922,0.6
vie,hrv,4.9,-0.826078607,-1.336733909,0.523120037,0.836789567,0.651477494,-1.621155443,-0.102277186,-0.187517972,-0.289532804,1.731225949,0.369119807,-0.248202865,-0.441525197,-0.617600666,-0.594990905,0.4,1,0.566,0.74,0.5456,0.7
ara,hun,2.7,-0.515842173,0.574887992,0.614284453,1.008478104,0.679758877,-0.32084744,-0.362671263,0.036867328,-0.079966266,-0.36775451,-0.468910793,-0.547780096,-0.585956987,-0.575203382,-0.559021624,1,1,0.6461,0.55,0.5922,0.6
bul,hun,4.7,-0.369447591,0.266891965,0.521118524,0.933101459,0.537785165,-0.351567211,-0.228232134,0.071093621,-0.285273311,-0.234797195,-0.69175119,-0.384570636,-0.474987453,-0.508418254,-0.504028213,0,1,0.4681,0.51,0.2048,0.5
ces,hun,4.9,0.147443027,0.434946642,-0.069330595,0.740737199,-0.016043614,0.334455813,-0.104987834,0.58526089,-0.107681908,-0.632282705,-0.706501384,-0.043345574,0.025536037,-0.063379952,-0.017288395,0,1,0.4169,0.59,0.5922,0.5
dan,hun,4.7,-0.352176108,0.293084478,0.535290935,0.904242051,0.416278409,-0.33659288,-0.289549495,0.133559843,-0.242928899,-0.312014547,-0.535580564,-0.39050261,-0.503237863,-0.451090633,-0.396299524,0.1,1,0.6461,0.6,0.5922,0.7
deu,hun,7.2,0.860926551,-0.193749837,-0.662994844,0.462111036,-0.790409116,0.911514032,0.570706553,1.366836164,0.287095336,-0.172285192,-0.527586219,0.70112047,0.682298843,0.604928309,0.704020818,0,1,0.4504,0.54,0.2677,0.5
ell,hun,5.3,-0.440249551,0.163113043,0.254835062,0.918415673,0.580023084,-0.342521901,-0.345344072,0.075715496,-0.123996314,0.240889403,-0.421638421,-0.317107199,-0.297305115,-0.496723013,-0.49251402,0,1,0.5526,0.52,0.2871,0.5
eng,hun,13.5,1.968159719,-1.740777214,-1.697709113,-0.27125256,-1.926317347,1.45566361,2.117114869,2.607823177,1.709659017,0.960265218,0.476289404,1.969947532,1.929573638,1.83886737,1.996756127,0.1,1,0.4581,0.6,0.3433,0.5
spa,hun,7.7,0.692300205,-0.925777706,-0.663321223,0.459502999,-0.713424136,0.286812335,0.269846594,1.258153881,0.187630498,0.490511865,-0.239340829,0.734338324,0.598852448,0.536555157,0.615557951,0.1,1,0.5253,0.54,0.4097,0.5
fra,hun,7.7,0.673984079,-0.908795003,-0.751548306,0.489925412,-0.654998786,0.33296552,0.299943929,1.271998014,0.369115188,0.621433108,-0.214430202,0.753922655,0.676892556,0.527394457,0.619911481,0.1,1,0.3122,0.63,0.2677,0.5
hrv,hun,4.3,-0.560307243,0.778336137,0.571515939,1.014860633,0.59582477,-0.115933162,-0.237334282,0.040950416,-0.294508019,-0.185130325,-0.330670075,-0.536892308,-0.517315009,-0.576366983,-0.552428579,0,1,0.4054,0.8,0.5922,0.6
